time,raw_acc,filtered_acc,filtered_velocity,displacement
0.0,0.27994974,0.1243783282991543,0.10765399486856589,0.0
0.00125,0.21813428,0.13142689360000342,0.10802643394378207,0.0001348002680077175
0.0025,0.22431514000000002,0.1377972088251927,0.10840739707959608,0.00027007141239732883
0.00375,0.28613158,0.14325100106818972,0.10879588740126996,0.00040582346519787006
0.005,0.34176520000000005,0.14741309940654657,0.10919052463131769,0.0005420649727182374
0.00625,0.40358164,0.1498761865333339,0.10958943943675484,0.0006788024502607828
0.0075,0.37885526,0.1503472538902249,0.10999032478057597,0.0008160398028966145
0.00875,0.37267342000000003,0.14874827204156765,0.11039064172667412,0.0009537779069636458
0.01,0.35412888,0.14523666554783993,0.11078790096053982,0.0010920144961431546
0.01125,0.33558434,0.14017733884937628,0.11117993962293352,0.0012307443965078252
0.0125,0.32322066000000005,0.13410461389206874,0.11156515687075137,0.0013699600818163785
0.01375,0.27994974,0.12768148334838492,0.11194270018217024,0.0015096524924744544
0.015,0.17486336000000002,0.12163030927043345,0.11231258288171385,0.001649812044389382
0.01625,0.15631784,0.11660146135676891,0.11267567625089399,0.001790429706347262
0.0175,0.19958876000000003,0.11302513362016736,0.1130335269231856,0.001931497958331062
0.01875,0.22431514000000002,0.1110524722678522,0.1133880448693444,0.002073011440701393
0.02,0.23667882,0.11060416271297935,0.11374118495453184,0.002214967209341316
0.02125,0.25522336,0.11144951698447303,0.11409470829195377,0.0023573646426203695
0.0225,0.24286066000000003,0.11326282131257615,0.1144500282433708,0.0025002051029549472
0.02375,0.31703882000000005,0.11566243040337021,0.11480811607077131,0.002643491443151286
0.025,0.36649158000000004,0.1182760184316719,0.11516947180383631,0.002787227435572916
0.02625,0.36649158000000004,0.12085370070078993,0.11553420659031267,0.002931417234569259
0.0275,0.31703882000000005,0.12336452463724734,0.11590225605429522,0.003076065023722139
0.02875,0.24904152000000004,0.12598963914643063,0.11627364969222784,0.003221174964813716
0.03,0.21813428,0.12900618597870028,0.11664870343185578,0.0033667514355162683
0.03125,0.2057706,0.13263308408922708,0.11702804323850653,0.003512799402185245
0.0325,0.23049698,0.13691691299340097,0.11741246101369267,0.0036593247173428694
0.03375,0.2737679,0.14169619724607196,0.11780267684861162,0.00380633417850681
0.035,0.31085796,0.14664278937890496,0.1181991048197808,0.003953835292049556
0.03625,0.34176520000000005,0.15135047282245817,0.1186017000258346,0.004101835795078065
0.0375,0.33558434,0.15542558792206118,0.11900991764240787,0.004250343056120717
0.03875,0.33558434,0.15854200318272466,0.11942276297530728,0.004399363481506788
0.04,0.35412888,0.16045673008491035,0.1198388856299706,0.004548902011885087
0.04125,0.39121796000000003,0.16102356542655483,0.12025669196664981,0.004698961747882975
0.0425,0.39121796000000003,0.1602370358856085,0.12067449354740954,0.004849543738829262
0.04375,0.34794704000000004,0.15828035283243258,0.12109071302023461,0.005000646992934039
0.045,0.29231244000000006,0.15551546518114578,0.12150411375792747,0.005152268759670391
0.04625,0.28613158,0.15240009669336935,0.1219139714283527,0.005304405062911815
0.0475,0.29849428,0.14939382910816856,0.12232013501495242,0.0054570513794388814
0.04875,0.2614052,0.1469101576543676,0.12272299917391301,0.005610203338306923
0.05,0.27994974,0.14529859721901178,0.12312343544238254,0.005763857359942107
0.05125,0.25522336,0.14482646108783437,0.12352270087475617,0.005918011195140318
0.0525,0.23667882,0.14565560518605863,0.12392232075582471,0.006072664333659431
0.05375,0.26758606,0.1478133351657911,0.12432393859600345,0.0062278182457543236
0.055,0.30467612,0.15118369624648825,0.12472914249964089,0.006383476421439101
0.05625,0.34176520000000005,0.1555542461168939,0.12513931532254152,0.006539644207577966
0.0575,0.29849428,0.16069070645329508,0.1255555607197513,0.006696328505104399
0.05875,0.30467612,0.1663696982656781,0.12597869631013342,0.006853537415748076
0.06,0.31085796,0.17235447838993906,0.126409252135843,0.007011279883526812
0.06125,0.34794704000000004,0.17837020690740163,0.1268474384992466,0.007169565315173742
0.0625,0.39121796000000003,0.1841268275662455,0.12729311264224236,0.007328403159637173
0.06375,0.36030974000000004,0.18937825940526254,0.1277457967206086,0.007487802477988956
0.065,0.36030974000000004,0.1939617142615993,0.12820475734655926,0.0076477715742809356
0.06625,0.36649158000000004,0.19778753052667686,0.12866910335083928,0.0078083177372168106
0.0675,0.39739979999999997,0.2008200740362378,0.12913786525397367,0.007969447092594818
0.06875,0.36649158000000004,0.20308518970368328,0.1296100674578436,0.008131164550539706
0.07,0.31085796,0.20466670574398282,0.13008480290967311,0.008293473844519405
0.07125,0.31085796,0.20564461420112207,0.13056126694398587,0.008456377638177939
0.0725,0.3294025,0.20600993401151635,0.1310386992768059,0.008619877617065933
0.07375,0.37267342000000003,0.20563497307555334,0.13151625420306773,0.008783974462990854
0.075,0.36649158000000004,0.20431604365399225,0.13199287890494418,0.008948667671183361
0.07625,0.34794704000000004,0.20183196193472785,0.13246725501952566,0.009113955254886156
0.0775,0.34176520000000005,0.19796308929399042,0.13293778866951733,0.00927983340719181
0.07875,0.4159443400000001,0.19249098512103657,0.13340261217773988,0.009446296157721345
0.08,0.42212618,0.18524727999206847,0.13385961611037925,0.009613335050401418
0.08125,0.38503612000000004,0.17620752686272112,0.1343065705229655,0.009780938917047259
0.0825,0.33558434,0.16553944870281484,0.13474133501811872,0.009949093858010436
0.08375,0.29849428,0.15356070871948302,0.13516207256445628,0.010117783487749546
0.085,0.32322066000000005,0.14066153339336745,0.13556738856128692,0.010286989400953135
0.08625,0.30467612,0.12726772093666933,0.13595639842298862,0.010456691767818306
